"text","mask"
"επι την Αιγυπτον και επι τον Ιουδαν και επι τον Εδωμ και επι τους υιους Αμμων και επι τον Μωαβ και επι παντας τους περικειροντας την κομην , τους κατοικουντας εν τη ερημω διοτι παντα τα εθνη ειναι απεριτμητα και πας ο οικος Ισραηλ απεριτμητος την καρδιαν .","1"
"και οι οικοι της Ιερουσαλημ και οι οικοι των βασιλεων του Ιουδα θελουσι μιανθη , καθως ο τοπος της Τοφεθ μετα πασων των οικιων , επι των δωματων των οποιων εθυμιασαν προς απασαν την στρατιαν του ουρανου και εκαμαν σπονδας εις αλλους θεους .","1"
"τον Φαραω βασιλεα της Αιγυπτου και τους δουλους αυτου και τους μεγιστανας αυτου και απαντα τον λαον αυτου ,","1"
"Θελουσιν ερωτησει περι της οδου της Σιων με τα προσωπα αυτων προς εκει , λεγοντες , Ελθετε και ας ενωθωμεν μετα του Κυριου εν διαθηκη αιωνιω , ητις δεν θελει λησμονηθη .","1"
"Εν ταις ημεραις εκειναις και εν τω καιρω εκεινω , λεγει Κυριος , η ανομια του Ισραηλ θελει ζητηθη και δεν θελει υπαρχει , και αι αμαρτιαι του Ιουδα και δεν θελουσιν ευρεθη διοτι θελω συγχωρησει οσους αφησω υπολοιπον .","1"
"Και ελαβεν ο αρχισωματοφυλαξ Σεραιαν τον πρωτον ιερεα και Σοφονιαν τον δευτερον ιερεα και τους τρεις θυρωρους","1"
"Ελεος του Κυριου ειναι , οτι δεν συνετελεσθημεν , επειδη δεν εξελιπον οι οικτιρμοι αυτου .","1"
"Και οι τετραυματισμενοι θελουσι πεσει εν μεσω υμων , και θελετε γνωρισει οτι εγω ειμαι ο Κυριος .","1"
"Και απεστρεψα την χειρα μου και εκαμον τουτο ενεκεν του ονοματος μου , δια να μη βεβηλωθη ενωπιον των εθνων , εμπροσθεν των οποιων εξηγαγον αυτους .","1"
"Τωρα συνετριβης εν ταις θαλασσαις , εν τω βαθει των υδατων το εμποριον σου και παν το αθροισμα σου επεσον εν μεσω σου .","1"
"Σεις ομως λεγετε , Η οδος του Κυριου δεν ειναι ευθεια οικος Ισραηλ , θελω σας κρινει εκαστον κατα τας οδους αυτου .","1"
"Και ιδου , συ εισαι προς αυτους ως ερωτικον ασμα ανθρωπου ηδυφωνου και παιζοντος οργανα καλως , διοτι ακουουσι τους λογους σου αλλα δεν καμνουσιν αυτους .","1"
"Τοτε ο βασιλευς Ναβουχοδονοσορ επεσεν επι προσωπον και προσεκυνησε τον Δανιηλ και προσεταξε να προσφερωσιν εις αυτον προσφοραν και θυμιαματα .","1"
"Και αφου παταξη το πληθος , η καρδια αυτου θελει υψωθη και θελει καταβαλει μυριαδας , πλην δεν θελει κραταιωθη .","1"
"Δια τουτο θελω θρηνησει και ολολυξει , θελω υπαγει εκδεδυμενος και γυμνος , θελω καμει θρηνον ως θωων και πενθος ως στρουθοκαμηλων .","1"
"Οι οφθαλμοι σου ειναι καθαρωτεροι παρα ωστε να βλεπης τα πονηρα , και δεν δυνασαι να επιβλεπης εις την ανομιαν δια τι επιβλεπεις εις τους παρανομους και σιωπας , οταν ο ασεβης καταπινη τον δικαιοτερον εαυτου ,","1"
"Ω , ω φευγετε απο της γης του βορρα , λεγει Κυριος διοτι σας διεσκορπισα προς τους τεσσαρας ανεμους του ουρανου , λεγει Κυριος .","1"
"Ο δε Ιησους ητο ενδεδυμενος ιματια ρυπαρα και ιστατο ενωπιον του αγγελου .","1"
"δεν ειναι ουτοι οι λογοι , τους οποιους ο Κυριος ελαλησε δια των προτερων προφητων , οτε η Ιερουσαλημ ητο κατωκημενη και εν ευημερια και αι πολεις αυτης κυκλω εν αυτη , οτε κατωκειτο το μεσημβρινον και η πεδινη ;","1"
"Ηκουσατε οτι ερρεθη , θελεις αγαπα τον πλησιον σου και μισει τον εχθρον σου .","1"
"Και λεγει προς αυτους Δια τι εισθε δειλοι , ολιγοπιστοι ; Τοτε σηκωθεις επετιμησε τους ανεμους και την θαλασσαν , και εγεινε γαληνη μεγαλη .","1"
"Επειδη σεις δεν εισθε οι λαλουντες , αλλα το Πνευμα του Πατρος σας , το οποιον λαλει εν υμιν .","1"
"Σεις λοιπον ακουσατε την παραβολην του σπειροντος .","1"
"Εν εκεινη τη ωρα ηλθον οι μαθηται προς τον Ιησουν , λεγοντες Τις αρα ειναι μεγαλητερος εν τη βασιλεια των ουρανων ;","1"
